site_name,site_code,label_code
Angelo Coast Range Reserve,Angelo,ANG
Año Nuevo Island Reserve,AñoNuevo,ANI
Blue Oak Ranch Reserve,BlueOakRanch,BOR
Bodega Marine Reserve,Bodega,BOD
Box Springs Reserve,BoxSprings,BSR
Cahill Riparian Reserve,Cahill,CAH
Boyd Deep Canyon Desert Research Center,DeepCanyon,DCP
Burns Piñon Ridge Reserve,PiñonRidge,BPR
Carpinteria Salt Marsh Reserve,CarpSaltMarsh,CSM
Coal Oil Point Natural Reserve,CoalOilPoint,COP
Dawson Los Monos Canyon Reserve,LosMonosCanyon,LMC
Elliott Chaparral Reserve,ElliotChaparral,ECR
Emerson Oaks Reserve,EmersonOaks,EMO
Fort Ord Natural Reserve,FortOrd,FOR
Hastings Natural History Reservation,Hastings,HAS
James San Jacinto Mountains Reserve,SanJacintoMtns,SJM
Jepson Prairie Reserve,JepsonPrairie,JEP
Kendall-Frost Mission Bay Marsh Reserve,MissionBayMarsh,MBM
Kenneth S. Norris Rancho Marino Reserve,RanchoMarino,RMR
Landels-Hill Big Creek Reserve,BigCreek,BCR
Lassen Field Station,Lassen,LAS
McLaughlin Natural Reserve,McLaughlin,MCL
Merced Vernal Pools and Grassland Reserve,MercedVernal,MVP
Motte Rimrock Reserve,MotteRimrock,MTR
Point Reyes Field Station,PointReyes,PRY
Quail Ridge Reserve,QuailRidge,QRR
Sagehen Creek Field Station,Sagehen,SAG
San Joaquin Marsh Reserve,SanJoaquinMarsh,SJR
Santa Cruz Island Reserve,SantaCruzIsland,SCI
Scripps Coastal Reserve,Scripps,SCR
Sedgwick Reserve,Sedgwick,SED
Sierra Nevada Aquatic Research Laboratory,SNARL,SNARL
Steele/Burnand Anza-Borrego Desert Research Center,AnzaBorrego,ABD
Strathearn Ranch Natural Reserve,StrathearnRanch,STR
Stunt Ranch Santa Monica Mountains Reserve,StuntRanch,SRR
Sweeney Granite Mountains Desert Research Center,GraniteMtns,GMD
Valentine Eastern Sierra Reserve,ValentineCamp,VES
White Mountain Research Center,WhiteMtn,WMR
Younger Lagoon Reserve,YoungerLagoon,YLR
Yosemite Field Station,Yosemite,YOS
